Expected constant (n/10): 24786.9

Rank	Word	Frequency	Rank*Frequency
328	body	100	32800
329	president	100	32900
330	fire	99	32670
331	public	98	32438
332	same	98	32536
333	according	98	32634
334	general	98	32732
335	dilip	98	32830
336	doctors	97	32592
337	following	97	32689
338	security	97	32786
339	away	97	32883
340	died	96	32640
341	justice	95	32395
342	town	95	32490
343	sarkar	95	32585
344	krishnagar	95	32680
345	officers	95	32775
346	want	94	32524
347	part	94	32618
348	delhi	93	32364
349	put	93	32457
350	may	93	32550
351	system	93	32643
352	most	93	32736
353	without	92	32476
354	others	92	32568
355	supreme	92	32660
356	least	91	32396
357	corporation	90	32130
358	well	90	32220
359	primary	90	32310
360	earlier	90	32400
361	meet	90	32490
362	got	90	32580
363	group	90	32670
364	early	90	32760
365	salt	88	32120
366	bank	88	32208
367	jail	87	31929
368	cannot	87	32016
369	claimed	87	32103
370	both	86	31820
371	parties	86	31906
372	issue	86	31992
373	still	86	32078
374	strike	86	32164
375	situation	86	32250
376	charges	86	32336
377	along	85	32045
378	sent	85	32130
379	parents	85	32215
380	probe	85	32300
381	husband	85	32385
382	law	85	32470
383	once	84	32172
384	arrest	84	32256
385	vehicles	83	31955
386	refused	83	32038
387	briefs	83	32121
388	class	83	32204
389	man	83	32287
390	section	83	32370
391	number	83	32453
392	lodged	83	32536
393	move	83	32619
394	units	82	32308
395	sources	81	31995
396	ensure	80	31680
397	association	80	31760
398	deputy	80	31840
399	chowdhury	80	31920
400	women	79	31600
401	very	79	31679
402	states	79	31758
403	incident	79	31837
404	bureau	79	31916
405	bhattacharya	78	31590
406	control	78	31668
407	sen	78	31746
408	hooghly	78	31824
409	run	78	31902
410	led	78	31980
411	additional	78	32058
412	indian	78	32136
413	unit	78	32214
414	daughter	78	32292
415	hours	78	32370
416	panchayat	77	32032
417	going	77	32109
418	doctor	76	31768
419	magistrate	76	31844
420	protest	76	31920
421	higher	76	31996
422	national	76	32072
423	plan	76	32148
424	injured	75	31800
425	dutta	75	31875
426	dead	74	31524
427	patients	74	31598
428	youths	74	31672
429	team	74	31746
430	late	74	31820
431	bangladesh	74	31894
432	legal	73	31536
433	petition	73	31609
434	industry	73	31682
435	week	73	31755
436	long	73	31828
437	caught	73	31901
438	policemen	73	31974
439	information	73	32047
440	bill	73	32120
441	already	72	31752
442	political	72	31824
443	need	71	31453
444	matter	71	31524
445	commission	71	31595
446	each	71	31666
447	services	70	31290
448	judge	70	31360
449	saying	70	31430
450	within	70	31500
451	call	70	31570
452	keep	70	31640
453	country	70	31710
454	seven	70	31780
455	why	70	31850
456	assembly	69	31464
457	missing	69	31533
458	life	69	31602
459	behrampore	69	31671
460	citu	69	31740
461	taking	69	31809
462	room	69	31878
463	cases	68	31484
464	given	68	31552
465	open	68	31620
466	block	68	31688
467	allowed	68	31756
468	good	67	31356
469	apparently	67	31423
470	business	66	31020
471	governments	66	31086
472	tomorrow	66	31152
473	east	65	30745
474	lawyers	65	30810
475	chairman	65	30875
476	jawans	65	30940
477	own	65	31005
478	forest	64	30592
479	inside	64	30656
480	institutions	64	30720
481	villages	64	30784
482	afternoon	63	30366
483	pal	63	30429
484	hospitals	63	30492
485	provide	63	30555
486	saha	63	30618
487	sengupta	63	30681
488	tried	63	30744
489	tourists	62	30318
490	course	62	30380
491	present	62	30442
492	charge	62	30504
493	roads	62	30566
494	naxalites	62	30628
495	candidates	62	30690
496	working	62	30752
497	whether	62	30814
498	programme	62	30876
499	rights	61	30439
500	director	61	30500
501	suicide	61	30561
502	support	61	30622
503	funds	61	30683
504	gang	61	30744
505	resident	61	30805
506	ordered	61	30866
507	again	60	30420
508	moved	60	30480
509	courts	60	30540
510	issued	60	30600
511	bench	60	30660
512	bring	60	30720
513	leadership	60	30780
514	courses	60	30840
515	rushed	59	30385
516	basis	59	30444
517	does	59	30503
518	administration	59	30562
519	second	58	30102
520	gave	58	30160
521	ali	58	30218
522	engineering	58	30276
523	too	58	30334
524	supporters	58	30392
525	forced	58	30450
526	personnel	58	30508
527	close	58	30566
528	old	58	30624
529	deb	58	30682
530	brought	58	30740
531	division	57	30267
532	turned	57	30324
533	yet	56	29848
534	find	56	29904
535	eight	56	29960
536	bail	56	30016
537	seats	56	30072
538	job	56	30128
539	training	56	30184
540	began	56	30240
541	service	55	29755
542	secondary	55	29810
543	hearing	55	29865
544	stop	55	29920
545	ministers	55	29975
546	youth	55	30030
547	technology	55	30085
548	complaints	55	30140
549	driver	55	30195
550	sheikh	55	30250
551	lost	54	29754
552	cpms	54	29808
553	malda	54	29862
554	authority	54	29916
555	world	54	29970
556	durgapur	54	30024
557	returned	54	30078
558	return	54	30132
559	behind	54	30186
560	sought	53	29680
561	dont	53	29733
562	heard	53	29786
563	says	53	29839
564	wanted	53	29892
565	men	53	29945
566	amit	53	29998
567	express	53	30051
568	act	53	30104
569	investigation	53	30157
570	different	52	29640
571	visit	52	29692
572	poor	52	29744
573	buildings	52	29796
574	met	52	29848
575	policy	52	29900
576	baby	52	29952
577	building	52	30004
578	bsf	52	30056
579	panel	52	30108
580	better	51	29580
581	construction	51	29631
582	prices	51	29682
583	admission	51	29733
584	subhas	51	29784
585	denied	51	29835
586	examination	51	29886
587	clear	51	29937
588	food	51	29988
589	demanded	51	30039
590	inquiry	51	30090
591	failed	50	29550
592	child	50	29600
593	forward	50	29650
594	must	50	29700
595	opposition	50	29750
596	door	50	29800
597	little	50	29850
598	undergraduate	50	29900
599	scheme	50	29950
600	mob	50	30000
601	saw	50	30050
602	passengers	50	30100
603	major	50	30150
604	study	50	30200
605	company	50	30250
606	supply	49	29694
607	projects	49	29743
608	start	49	29792
609	mla	49	29841
610	darjeeling	49	29890
611	leave	49	29939
612	writers	49	29988
613	bankura	49	30037
614	boy	49	30086
615	problems	49	30135
616	eastern	49	30184
617	condition	48	29616
618	might	48	29664
619	expected	48	29712
620	conference	48	29760
621	just	48	29808
622	allow	48	29856
623	end	48	29904
624	rape	48	29952
625	rural	48	30000
626	relief	48	30048
627	bodies	48	30096
628	nepal	48	30144
629	dasgupta	48	30192
630	marriage	47	29610
631	hit	47	29657
632	rice	47	29704
633	bloc	47	29751
634	you	47	29798
635	quota	47	29845
636	hike	47	29892
637	see	47	29939
638	problem	47	29986
639	promised	47	30033
640	sector	47	30080
641	picked	47	30127
642	cid	47	30174
643	line	46	29578
644	cost	46	29624
645	ruling	46	29670
646	armed	46	29716
647	despite	46	29762
648	judicial	46	29808
649	fled	46	29854
650	infrastructure	46	29900
651	talks	46	29946
652	threatened	46	29992
653	immediately	45	29385
654	various	45	29430
655	much	45	29475
656	park	45	29520
657	look	45	29565
658	connection	45	29610
659	himself	45	29655
660	apex	45	29700
661	news	45	29745
662	face	45	29790
663	process	45	29835
664	top	45	29880
665	doing	45	29925
666	raped	45	29970
667	labour	45	30015
668	change	45	30060
669	mw	44	29436
670	spot	44	29480
671	large	44	29524
672	birbhum	44	29568
673	done	44	29612
674	free	44	29656
675	announced	44	29700
676	activities	44	29744
677	give	44	29788
678	possible	44	29832
679	companies	44	29876
680	girls	44	29920
681	street	44	29964
682	anil	44	30008
683	planning	44	30052
684	proposal	43	29412
685	post	43	29455
686	club	43	29498
687	hour	43	29541
688	partys	43	29584
689	purulia	43	29627
690	issues	43	29670
691	demanding	43	29713
692	kept	43	29756
693	crime	43	29799
694	january	43	29842
695	known	43	29885
696	criminal	43	29928
697	papers	43	29971
698	common	43	30014
