Expected constant (n/10): 11352.3

Rank	Word	Frequency	Rank*Frequency
245	রাস্তার	95	23275
246	কলিকাতা	95	23370
247	৭০	95	23465
248	কাঁচা	94	23312
249	জে	94	23406
250	সম্পর্কে	94	23500
251	সারা	94	23594
252	উত্তরে	93	23436
253	বি	91	23023
254	ল্যাংড়া	91	23114
255	পর	91	23205
256	বিজন	90	23040
257	কথা	90	23130
258	চলায়	88	22704
259	সেতু	88	22792
260	২২০	88	22880
261	প্রয়োজন	88	22968
262	হীরক	87	22794
263	ফার্ন	86	22618
264	সি	86	22704
265	বসানোর	86	22790
266	সময়	86	22876
267	সরকার	86	22962
268	রাখা	85	22780
269	জলের	85	22865
270	জানান	84	22680
271	মুক্তা	84	22764
272	৮০	84	22848
273	গোল	83	22659
274	কাছে	83	22742
275	পরীক্ষা	83	22825
276	বিভিন্ন	83	22908
277	দিনই	83	22991
278	ঝিঙে	82	22796
279	মঙ্গল	82	22878
280	করিয়াছেন	81	22680
281	মোটামুটি	80	22480
282	জীবনে	80	22560
283	তাহাদের	80	22640
284	প্রায়	79	22436
285	তাঁহাদের	79	22515
286	তরমুজ	79	22594
287	রোডেও	79	22673
288	মঙ্গলবার	78	22464
289	গতিতে	78	22542
290	১৪১০	77	22330
291	ধীর	77	22407
292	সোমবার	77	22484
293	তাঁহার	77	22561
294	দক্ষিণে	76	22344
295	পেরোলেই	76	22420
296	বিষয়ে	75	22200
297	রডন	75	22275
298	লাউডন	75	22350
299	করতে	75	22425
300	করিবার	75	22500
301	জন	74	22274
302	সকল	73	22046
303	সহিত	72	21816
304	দলের	72	21888
305	বুধবার	71	21655
306	গোলপার্ক	71	21726
307	হইতেছে	71	21797
308	জুলাই	71	21868
309	সুযোগ	70	21630
310	আরও	70	21700
311	ব্যয়	70	21770
312	মোট	70	21840
313	উক্ত	70	21910
314	বুধ	69	21666
315	উপর	69	21735
316	করার	69	21804
317	সদানন্দ	68	21556
318	পর্ষদের	68	21624
319	আছে	67	21373
320	তার	67	21440
321	পীত	67	21507
322	পশ্চিমবঙ্গ	67	21574
323	গ্রহণ	67	21641
324	রবীন্দ্র	67	21708
325	বৃহস্পতি	67	21775
326	রবি	66	21516
327	হলুদ	66	21582
328	ক্যাট্স	66	21648
329	৪০০	66	21714
330	বৎসর	66	21780
331	একডালিয়া	66	21846
